P,Outcome,Importance Raiting,Satisfaction Raiting
P59,"Confidently determine what land style is the best for my Diff. If you are unfamiliar with land styles please select ""I don't know",3,4
P60,"Confidently determine what land style is the best for my Diff. If you are unfamiliar with land styles please select ""I don't know",3,3
P61,"Confidently determine what land style is the best for my Diff. If you are unfamiliar with land styles please select ""I don't know",3,3
P62,"Confidently determine what land style is the best for my Diff. If you are unfamiliar with land styles please select ""I don't know",3,3
P1,Easily determine how long it will take to land my Diff,2,3
P2,Easily determine how long it will take to land my Diff,5,1
P3,Easily determine how long it will take to land my Diff,3,3
P4,Easily determine how long it will take to land my Diff,4,2
P5,Easily determine how long it will take to land my Diff,4,5
P6,Easily determine how long it will take to land my Diff,5,1
P7,Easily determine how long it will take to land my Diff,3,3
P8,Easily determine how long it will take to land my Diff,3,3
P9,Easily determine how long it will take to land my Diff,5,4
P10,Easily determine how long it will take to land my Diff,3,4
P11,Easily determine how long it will take to land my Diff,3,2
P12,Easily determine how long it will take to land my Diff,5,2
P13,Easily determine how long it will take to land my Diff,5,2
P14,Easily determine how long it will take to land my Diff,3,4
P15,Easily determine how long it will take to land my Diff,4,5
P16,Easily determine how long it will take to land my Diff,5,4
P17,Easily determine how long it will take to land my Diff,5,5
P18,Easily determine how long it will take to land my Diff,2,2
P19,Easily determine how long it will take to land my Diff,2,4
P20,Easily determine how long it will take to land my Diff,4,2
P21,Easily determine how long it will take to land my Diff,3,4
P22,Easily determine how long it will take to land my Diff,2,3
P23,Easily determine how long it will take to land my Diff,1,2
P24,Easily determine how long it will take to land my Diff,4,2
P25,Easily determine how long it will take to land my Diff,4,2
P26,Easily determine how long it will take to land my Diff,3,3
P27,Easily determine how long it will take to land my Diff,3,2
P28,Easily determine how long it will take to land my Diff,4,2
P29,Easily determine how long it will take to land my Diff,3,4
P30,Easily determine how long it will take to land my Diff,3,4
P31,Easily determine how long it will take to land my Diff,3,1
P32,Easily determine how long it will take to land my Diff,5,5
P33,Easily determine how long it will take to land my Diff,5,2
P34,Easily determine how long it will take to land my Diff,4,4
P35,Easily determine how long it will take to land my Diff,2,3
P36,Easily determine how long it will take to land my Diff,4,4
P37,Easily determine how long it will take to land my Diff,2,2
P38,Easily determine how long it will take to land my Diff,2,3
P39,Easily determine how long it will take to land my Diff,4,2
P40,Easily determine how long it will take to land my Diff,3,4
P41,Easily determine how long it will take to land my Diff,3,2
P42,Easily determine how long it will take to land my Diff,5,3
P43,Easily determine how long it will take to land my Diff,3,2
P44,Easily determine how long it will take to land my Diff,3,2
P45,Easily determine how long it will take to land my Diff,4,5
P46,Easily determine how long it will take to land my Diff,4,2
P47,Easily determine how long it will take to land my Diff,2,4
P48,Easily determine how long it will take to land my Diff,2,3
P49,Easily determine how long it will take to land my Diff,3,4
P50,Easily determine how long it will take to land my Diff,4,2
P51,Easily determine how long it will take to land my Diff,4,2
P52,Easily determine how long it will take to land my Diff,3,2
P53,Easily determine how long it will take to land my Diff,5,4
P54,Easily determine how long it will take to land my Diff,4,1
P55,Easily determine how long it will take to land my Diff,5,5
P56,Easily determine how long it will take to land my Diff,1,3
P57,Easily determine how long it will take to land my Diff,4,2
P58,Easily determine how long it will take to land my Diff,2,4
P59,Easily determine how long it will take to land my Diff,2,4
P60,Easily determine how long it will take to land my Diff,4,2
P61,Easily determine how long it will take to land my Diff,2,5
P62,Easily determine how long it will take to land my Diff,4,2
P1,My Diff lands in the amount of time I expect,2,3
P2,My Diff lands in the amount of time I expect,4,4
P3,My Diff lands in the amount of time I expect,3,3
P4,My Diff lands in the amount of time I expect,4,3
P5,My Diff lands in the amount of time I expect,4,4
P6,My Diff lands in the amount of time I expect,5,1
P7,My Diff lands in the amount of time I expect,3,4
P8,My Diff lands in the amount of time I expect,4,3
P9,My Diff lands in the amount of time I expect,5,4
P10,My Diff lands in the amount of time I expect,3,2
P11,My Diff lands in the amount of time I expect,3,3
P12,My Diff lands in the amount of time I expect,4,4
P13,My Diff lands in the amount of time I expect,5,2
P14,My Diff lands in the amount of time I expect,2,4
P15,My Diff lands in the amount of time I expect,4,4
P16,My Diff lands in the amount of time I expect,5,2
P17,My Diff lands in the amount of time I expect,5,5
P18,My Diff lands in the amount of time I expect,3,2
P19,My Diff lands in the amount of time I expect,4,2
P20,My Diff lands in the amount of time I expect,3,3
P21,My Diff lands in the amount of time I expect,4,2
P22,My Diff lands in the amount of time I expect,2,3
P23,My Diff lands in the amount of time I expect,1,3
P24,My Diff lands in the amount of time I expect,5,2
P25,My Diff lands in the amount of time I expect,3,3
P26,My Diff lands in the amount of time I expect,4,4
P27,My Diff lands in the amount of time I expect,4,3
P28,My Diff lands in the amount of time I expect,3,4
P29,My Diff lands in the amount of time I expect,2,4
P30,My Diff lands in the amount of time I expect,3,3
P31,My Diff lands in the amount of time I expect,4,2
P32,My Diff lands in the amount of time I expect,4,5
P33,My Diff lands in the amount of time I expect,4,4
P34,My Diff lands in the amount of time I expect,3,3
P35,My Diff lands in the amount of time I expect,3,4
P36,My Diff lands in the amount of time I expect,4,4
P37,My Diff lands in the amount of time I expect,3,2
P38,My Diff lands in the amount of time I expect,3,4
P39,My Diff lands in the amount of time I expect,4,2
P40,My Diff lands in the amount of time I expect,3,4
P41,My Diff lands in the amount of time I expect,3,2
P42,My Diff lands in the amount of time I expect,5,3
P43,My Diff lands in the amount of time I expect,3,2
P44,My Diff lands in the amount of time I expect,3,2
P45,My Diff lands in the amount of time I expect,3,5
P46,My Diff lands in the amount of time I expect,4,2
P47,My Diff lands in the amount of time I expect,1,3
P48,My Diff lands in the amount of time I expect,2,3
P49,My Diff lands in the amount of time I expect,5,2
P50,My Diff lands in the amount of time I expect,4,3
P51,My Diff lands in the amount of time I expect,3,2
P52,My Diff lands in the amount of time I expect,4,5
P53,My Diff lands in the amount of time I expect,5,4
P54,My Diff lands in the amount of time I expect,2,2
P55,My Diff lands in the amount of time I expect,4,4
P56,My Diff lands in the amount of time I expect,3,3
P57,My Diff lands in the amount of time I expect,4,2
P58,My Diff lands in the amount of time I expect,2,3
P59,My Diff lands in the amount of time I expect,4,2
P60,My Diff lands in the amount of time I expect,4,3
P61,My Diff lands in the amount of time I expect,2,5
P62,My Diff lands in the amount of time I expect,4,3
P1,I quickly know how long it will take for each signal to run on my diff,3,4
P2,I quickly know how long it will take for each signal to run on my diff,4,4
P3,I quickly know how long it will take for each signal to run on my diff,3,4
P4,I quickly know how long it will take for each signal to run on my diff,3,2
P5,I quickly know how long it will take for each signal to run on my diff,4,2
P6,I quickly know how long it will take for each signal to run on my diff,5,1
P7,I quickly know how long it will take for each signal to run on my diff,2,3
P8,I quickly know how long it will take for each signal to run on my diff,4,2
P9,I quickly know how long it will take for each signal to run on my diff,4,3
P10,I quickly know how long it will take for each signal to run on my diff,3,3
P11,I quickly know how long it will take for each signal to run on my diff,3,3
P12,I quickly know how long it will take for each signal to run on my diff,3,3
P13,I quickly know how long it will take for each signal to run on my diff,4,3
P14,I quickly know how long it will take for each signal to run on my diff,3,3
P15,I quickly know how long it will take for each signal to run on my diff,5,5
P16,I quickly know how long it will take for each signal to run on my diff,4,4
P17,I quickly know how long it will take for each signal to run on my diff,5,5
P18,I quickly know how long it will take for each signal to run on my diff,3,2
P19,I quickly know how long it will take for each signal to run on my diff,4,3
P20,I quickly know how long it will take for each signal to run on my diff,3,2
P21,I quickly know how long it will take for each signal to run on my diff,5,1
P22,I quickly know how long it will take for each signal to run on my diff,3,4
P23,I quickly know how long it will take for each signal to run on my diff,1,2
P24,I quickly know how long it will take for each signal to run on my diff,4,2
P25,I quickly know how long it will take for each signal to run on my diff,3,2
P26,I quickly know how long it will take for each signal to run on my diff,4,2
P27,I quickly know how long it will take for each signal to run on my diff,3,2
P28,I quickly know how long it will take for each signal to run on my diff,3,2
P29,I quickly know how long it will take for each signal to run on my diff,2,3
P30,I quickly know how long it will take for each signal to run on my diff,3,4
P31,I quickly know how long it will take for each signal to run on my diff,3,1
P32,I quickly know how long it will take for each signal to run on my diff,3,3
P33,I quickly know how long it will take for each signal to run on my diff,3,2
P34,I quickly know how long it will take for each signal to run on my diff,3,3
P35,I quickly know how long it will take for each signal to run on my diff,3,4
P36,I quickly know how long it will take for each signal to run on my diff,4,3
P37,I quickly know how long it will take for each signal to run on my diff,3,2
P38,I quickly know how long it will take for each signal to run on my diff,2,3
P39,I quickly know how long it will take for each signal to run on my diff,3,2
P40,I quickly know how long it will take for each signal to run on my diff,3,4
P41,I quickly know how long it will take for each signal to run on my diff,3,2
P42,I quickly know how long it will take for each signal to run on my diff,5,3
P43,I quickly know how long it will take for each signal to run on my diff,4,1
P44,I quickly know how long it will take for each signal to run on my diff,2,2
P45,I quickly know how long it will take for each signal to run on my diff,3,5
P46,I quickly know how long it will take for each signal to run on my diff,3,2
P47,I quickly know how long it will take for each signal to run on my diff,2,2
P48,I quickly know how long it will take for each signal to run on my diff,3,4
P49,I quickly know how long it will take for each signal to run on my diff,4,2
P50,I quickly know how long it will take for each signal to run on my diff,4,2
P51,I quickly know how long it will take for each signal to run on my diff,2,3
P52,I quickly know how long it will take for each signal to run on my diff,3,1
P53,I quickly know how long it will take for each signal to run on my diff,4,4
P54,I quickly know how long it will take for each signal to run on my diff,3,3
P55,I quickly know how long it will take for each signal to run on my diff,4,4
P56,I quickly know how long it will take for each signal to run on my diff,1,3
P57,I quickly know how long it will take for each signal to run on my diff,4,2
P58,I quickly know how long it will take for each signal to run on my diff,2,3
P59,I quickly know how long it will take for each signal to run on my diff,2,4
P60,I quickly know how long it will take for each signal to run on my diff,2,4
P61,I quickly know how long it will take for each signal to run on my diff,3,3
P62,I quickly know how long it will take for each signal to run on my diff,4,4
P1,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P2,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P3,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P4,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P5,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P6,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,1
P7,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P8,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P9,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,3
P10,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P11,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,5
P12,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,3
P13,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P14,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P15,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P16,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P17,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,5
P18,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P19,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,4
P20,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P21,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,1
P22,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P23,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,1,3
P24,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,3
P25,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,5
P26,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,5
P27,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P28,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,2
P29,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P30,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P31,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P32,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,5
P33,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P34,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,3
P35,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P36,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P37,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P38,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P39,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,2
P40,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P41,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P42,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,3
P43,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P44,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P45,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P46,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P47,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,2,4
P48,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P49,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P50,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P51,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P52,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,2
P53,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,5,4
P54,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,2
P55,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,3
P56,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,1,3
P57,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,2
P58,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,2,3
P59,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,4
P60,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,4
P61,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,3,3
P62,The status (e.g. passing or failing) of signals on my Diff display in the amount of time I expect,4,3
P1,I can quickly identify which signals have failed on my diff during landing.,4,4
P2,I can quickly identify which signals have failed on my diff during landing.,5,4
P3,I can quickly identify which signals have failed on my diff during landing.,4,4
P4,I can quickly identify which signals have failed on my diff during landing.,5,5
P5,I can quickly identify which signals have failed on my diff during landing.,5,5
P6,I can quickly identify which signals have failed on my diff during landing.,5,5
P7,I can quickly identify which signals have failed on my diff during landing.,4,5
P8,I can quickly identify which signals have failed on my diff during landing.,3,4
P9,I can quickly identify which signals have failed on my diff during landing.,5,4
P10,I can quickly identify which signals have failed on my diff during landing.,4,4
P11,I can quickly identify which signals have failed on my diff during landing.,5,5
P12,I can quickly identify which signals have failed on my diff during landing.,3,4
P13,I can quickly identify which signals have failed on my diff during landing.,5,4
P14,I can quickly identify which signals have failed on my diff during landing.,5,3
P15,I can quickly identify which signals have failed on my diff during landing.,5,5
P16,I can quickly identify which signals have failed on my diff during landing.,5,5
P17,I can quickly identify which signals have failed on my diff during landing.,5,5
P18,I can quickly identify which signals have failed on my diff during landing.,3,3
P19,I can quickly identify which signals have failed on my diff during landing.,5,5
P20,I can quickly identify which signals have failed on my diff during landing.,5,5
P21,I can quickly identify which signals have failed on my diff during landing.,5,5
P22,I can quickly identify which signals have failed on my diff during landing.,1,5
P23,I can quickly identify which signals have failed on my diff during landing.,5,5
P24,I can quickly identify which signals have failed on my diff during landing.,4,4
P25,I can quickly identify which signals have failed on my diff during landing.,4,4
P26,I can quickly identify which signals have failed on my diff during landing.,5,4
P27,I can quickly identify which signals have failed on my diff during landing.,5,4
P28,I can quickly identify which signals have failed on my diff during landing.,4,5
P29,I can quickly identify which signals have failed on my diff during landing.,4,5
P30,I can quickly identify which signals have failed on my diff during landing.,3,4
P31,I can quickly identify which signals have failed on my diff during landing.,5,4
P32,I can quickly identify which signals have failed on my diff during landing.,3,4
P33,I can quickly identify which signals have failed on my diff during landing.,4,4
P34,I can quickly identify which signals have failed on my diff during landing.,5,4
P35,I can quickly identify which signals have failed on my diff during landing.,4,5
P36,I can quickly identify which signals have failed on my diff during landing.,5,5
P37,I can quickly identify which signals have failed on my diff during landing.,5,5
P38,I can quickly identify which signals have failed on my diff during landing.,5,4
P39,I can quickly identify which signals have failed on my diff during landing.,3,3
P40,I can quickly identify which signals have failed on my diff during landing.,4,4
P41,I can quickly identify which signals have failed on my diff during landing.,4,4
P42,I can quickly identify which signals have failed on my diff during landing.,5,5
P43,I can quickly identify which signals have failed on my diff during landing.,3,3
P44,I can quickly identify which signals have failed on my diff during landing.,3,4
P45,I can quickly identify which signals have failed on my diff during landing.,4,3
P46,I can quickly identify which signals have failed on my diff during landing.,4,4
P47,I can quickly identify which signals have failed on my diff during landing.,4,4
P48,I can quickly identify which signals have failed on my diff during landing.,5,4
P49,I can quickly identify which signals have failed on my diff during landing.,4,5
P50,I can quickly identify which signals have failed on my diff during landing.,5,5
P51,I can quickly identify which signals have failed on my diff during landing.,3,3
P52,I can quickly identify which signals have failed on my diff during landing.,4,5
P53,I can quickly identify which signals have failed on my diff during landing.,5,5
P54,I can quickly identify which signals have failed on my diff during landing.,5,5
P55,I can quickly identify which signals have failed on my diff during landing.,5,4
P56,I can quickly identify which signals have failed on my diff during landing.,1,3
P57,I can quickly identify which signals have failed on my diff during landing.,4,2
P58,I can quickly identify which signals have failed on my diff during landing.,4,4
P59,I can quickly identify which signals have failed on my diff during landing.,5,4
P60,I can quickly identify which signals have failed on my diff during landing.,4,4
P61,I can quickly identify which signals have failed on my diff during landing.,5,5
P62,I can quickly identify which signals have failed on my diff during landing.,5,4
P1,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P2,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P3,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P4,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P5,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P6,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P7,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P8,I can easily determine how to troubleshoot signals that failed on my Diff,3,2
P9,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P10,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P11,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P12,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P13,I can easily determine how to troubleshoot signals that failed on my Diff,5,3
P14,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P15,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P16,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P17,I can easily determine how to troubleshoot signals that failed on my Diff,5,5
P18,I can easily determine how to troubleshoot signals that failed on my Diff,4,1
P19,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P20,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P21,I can easily determine how to troubleshoot signals that failed on my Diff,5,1
P22,I can easily determine how to troubleshoot signals that failed on my Diff,3,2
P23,I can easily determine how to troubleshoot signals that failed on my Diff,3,2
P24,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P25,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P26,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P27,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P28,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P29,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P30,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P31,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P32,I can easily determine how to troubleshoot signals that failed on my Diff,4,5
P33,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P34,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P35,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P36,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P37,I can easily determine how to troubleshoot signals that failed on my Diff,3,2
P38,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P39,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P40,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P41,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P42,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P43,I can easily determine how to troubleshoot signals that failed on my Diff,4,1
P44,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P45,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P46,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P47,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P48,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P49,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P50,I can easily determine how to troubleshoot signals that failed on my Diff,5,2
P51,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P52,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P53,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P54,I can easily determine how to troubleshoot signals that failed on my Diff,4,3
P55,I can easily determine how to troubleshoot signals that failed on my Diff,5,4
P56,I can easily determine how to troubleshoot signals that failed on my Diff,1,4
P57,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P58,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P59,I can easily determine how to troubleshoot signals that failed on my Diff,4,2
P60,I can easily determine how to troubleshoot signals that failed on my Diff,5,3
P61,I can easily determine how to troubleshoot signals that failed on my Diff,5,3
P62,I can easily determine how to troubleshoot signals that failed on my Diff,4,4
P1,I can easily distinguish what signals I need to focus on,3,4
P2,I can easily distinguish what signals I need to focus on,4,2
P3,I can easily distinguish what signals I need to focus on,4,4
P4,I can easily distinguish what signals I need to focus on,5,4
P5,I can easily distinguish what signals I need to focus on,3,3
P6,I can easily distinguish what signals I need to focus on,5,5
P7,I can easily distinguish what signals I need to focus on,4,5
P8,I can easily distinguish what signals I need to focus on,3,3
P9,I can easily distinguish what signals I need to focus on,5,4
P10,I can easily distinguish what signals I need to focus on,3,4
P11,I can easily distinguish what signals I need to focus on,4,3
P12,I can easily distinguish what signals I need to focus on,4,3
P13,I can easily distinguish what signals I need to focus on,4,3
P14,I can easily distinguish what signals I need to focus on,4,4
P15,I can easily distinguish what signals I need to focus on,4,5
P16,I can easily distinguish what signals I need to focus on,3,3
P17,I can easily distinguish what signals I need to focus on,5,5
P18,I can easily distinguish what signals I need to focus on,4,4
P19,I can easily distinguish what signals I need to focus on,5,5
P20,I can easily distinguish what signals I need to focus on,4,3
P21,I can easily distinguish what signals I need to focus on,5,2
P22,I can easily distinguish what signals I need to focus on,1,5
P23,I can easily distinguish what signals I need to focus on,3,5
P24,I can easily distinguish what signals I need to focus on,4,4
P25,I can easily distinguish what signals I need to focus on,4,4
P26,I can easily distinguish what signals I need to focus on,3,3
P27,I can easily distinguish what signals I need to focus on,4,2
P28,I can easily distinguish what signals I need to focus on,4,4
P29,I can easily distinguish what signals I need to focus on,4,4
P30,I can easily distinguish what signals I need to focus on,3,2
P31,I can easily distinguish what signals I need to focus on,4,3
P32,I can easily distinguish what signals I need to focus on,4,4
P33,I can easily distinguish what signals I need to focus on,3,4
P34,I can easily distinguish what signals I need to focus on,4,3
P35,I can easily distinguish what signals I need to focus on,3,2
P36,I can easily distinguish what signals I need to focus on,4,4
P37,I can easily distinguish what signals I need to focus on,4,4
P38,I can easily distinguish what signals I need to focus on,5,4
P39,I can easily distinguish what signals I need to focus on,2,4
P40,I can easily distinguish what signals I need to focus on,4,2
P41,I can easily distinguish what signals I need to focus on,4,4
P42,I can easily distinguish what signals I need to focus on,5,4
P43,I can easily distinguish what signals I need to focus on,4,3
P44,I can easily distinguish what signals I need to focus on,2,2
P45,I can easily distinguish what signals I need to focus on,4,4
P46,I can easily distinguish what signals I need to focus on,4,4
P47,I can easily distinguish what signals I need to focus on,4,4
P48,I can easily distinguish what signals I need to focus on,5,2
P49,I can easily distinguish what signals I need to focus on,4,4
P50,I can easily distinguish what signals I need to focus on,5,2
P51,I can easily distinguish what signals I need to focus on,3,4
P52,I can easily distinguish what signals I need to focus on,3,3
P53,I can easily distinguish what signals I need to focus on,5,4
P54,I can easily distinguish what signals I need to focus on,5,5
P55,I can easily distinguish what signals I need to focus on,4,3
P56,I can easily distinguish what signals I need to focus on,2,3
P57,I can easily distinguish what signals I need to focus on,4,3
P58,I can easily distinguish what signals I need to focus on,3,3
P59,I can easily distinguish what signals I need to focus on,4,4
P60,I can easily distinguish what signals I need to focus on,4,4
P61,I can easily distinguish what signals I need to focus on,4,4
P62,I can easily distinguish what signals I need to focus on,4,4
P1,I only see the signals on my DIff that are important to me,null,3
P2,I only see the signals on my DIff that are important to me,,3
P3,I only see the signals on my DIff that are important to me,2,4
P4,I only see the signals on my DIff that are important to me,3,3
P5,I only see the signals on my DIff that are important to me,3,3
P6,I only see the signals on my DIff that are important to me,5,5
P7,I only see the signals on my DIff that are important to me,3,3
P8,I only see the signals on my DIff that are important to me,3,2
P9,I only see the signals on my DIff that are important to me,4,4
P10,I only see the signals on my DIff that are important to me,3,3
P11,I only see the signals on my DIff that are important to me,4,2
P12,I only see the signals on my DIff that are important to me,4,4
P13,I only see the signals on my DIff that are important to me,4,5
P14,I only see the signals on my DIff that are important to me,3,3
P15,I only see the signals on my DIff that are important to me,3,2
P16,I only see the signals on my DIff that are important to me,3,3
P17,I only see the signals on my DIff that are important to me,5,5
P18,I only see the signals on my DIff that are important to me,3,2
P19,I only see the signals on my DIff that are important to me,4,2
P20,I only see the signals on my DIff that are important to me,4,2
P21,I only see the signals on my DIff that are important to me,4,1
P22,I only see the signals on my DIff that are important to me,5,4
P23,I only see the signals on my DIff that are important to me,2,4
P24,I only see the signals on my DIff that are important to me,3,3
P25,I only see the signals on my DIff that are important to me,3,3
P26,I only see the signals on my DIff that are important to me,3,3
P27,I only see the signals on my DIff that are important to me,5,3
P28,I only see the signals on my DIff that are important to me,3,2
P29,I only see the signals on my DIff that are important to me,4,2
P30,I only see the signals on my DIff that are important to me,3,3
P31,I only see the signals on my DIff that are important to me,5,1
P32,I only see the signals on my DIff that are important to me,4,2
P33,I only see the signals on my DIff that are important to me,2,4
P34,I only see the signals on my DIff that are important to me,3,2
P35,I only see the signals on my DIff that are important to me,3,3
P36,I only see the signals on my DIff that are important to me,4,3
P37,I only see the signals on my DIff that are important to me,3,1
P38,I only see the signals on my DIff that are important to me,3,3
P39,I only see the signals on my DIff that are important to me,4,1
P40,I only see the signals on my DIff that are important to me,3,3
P41,I only see the signals on my DIff that are important to me,3,3
P42,I only see the signals on my DIff that are important to me,5,4
P43,I only see the signals on my DIff that are important to me,3,2
P44,I only see the signals on my DIff that are important to me,3,3
P45,I only see the signals on my DIff that are important to me,4,2
P46,I only see the signals on my DIff that are important to me,3,3
P47,I only see the signals on my DIff that are important to me,3,2
P48,I only see the signals on my DIff that are important to me,5,2
P49,I only see the signals on my DIff that are important to me,5,1
P50,I only see the signals on my DIff that are important to me,4,2
P51,I only see the signals on my DIff that are important to me,4,5
P52,I only see the signals on my DIff that are important to me,1,2
P53,I only see the signals on my DIff that are important to me,5,4
P54,I only see the signals on my DIff that are important to me,3,3
P55,I only see the signals on my DIff that are important to me,4,3
P56,I only see the signals on my DIff that are important to me,3,4
P57,I only see the signals on my DIff that are important to me,4,2
